"fid","longitude","latitude","Zone","membership_z1","membership_z2","membership_z3","membership_z4","membership_z5"
1,-79.2469,-7.9443,4,0.001634,0.011496,0.003384,0.971722,0.011763
2,-79.1576,-7.7962,2,0.000801,0.993087,0.003254,0.002357,5e-04
3,-79.1554,-7.8294,3,0.425055,0.049816,0.501081,0.016764,0.007284
4,-79.1703,-7.851,2,0.007194,0.940318,0.032954,0.015842,0.003692
5,-79.1352,-7.7923,2,0.019495,0.62248,0.05474,0.27381,0.029474
6,-79.2273,-7.9795,3,0.054422,0.346019,0.545769,0.041174,0.012616
7,-79.233,-7.9627,4,0.01673,0.281573,0.04222,0.621774,0.037703
8,-79.1496,-7.8416,3,0.13807,0.038833,0.80663,0.011657,0.00481
9,-79.2193,-7.981,2,0.000157,0.998614,0.00062,0.000505,0.000104
10,-79.1529,-7.8691,2,0.00341,0.964879,0.01173,0.017014,0.002967
11,-79.2207,-7.9372,2,0.01858,0.844832,0.097108,0.031542,0.007938
12,-79.17,-7.8782,2,0.001126,0.990338,0.004623,0.003223,0.00069
13,-79.2676,-7.9454,2,0.001288,0.988979,0.005311,0.00364,0.000783
14,-79.2304,-7.9317,2,0.00135,0.98693,0.00484,0.005806,0.001073
15,-79.2437,-7.9556,4,0.014631,0.223788,0.036246,0.689597,0.035738
16,-79.2323,-7.935,3,0.418951,0.049937,0.507055,0.016774,0.007283
17,-79.1804,-7.8884,2,0.002748,0.972231,0.009559,0.013132,0.002329
18,-79.2314,-7.8782,4,0.00322,0.021354,0.006565,0.942224,0.026637
19,-79.2381,-7.9743,2,0.016474,0.741983,0.048457,0.171564,0.021523
20,-79.1951,-7.9337,4,0.006075,0.037179,0.012116,0.882456,0.062174
21,-79.2029,-7.8743,5,0.005824,0.017183,0.009208,0.045725,0.92206
22,-79.2118,-7.9451,4,0.011895,0.062942,0.022752,0.704925,0.197487
23,-79.211,-7.8888,2,0.007802,0.909508,0.025288,0.049586,0.007816
24,-79.1841,-7.8376,2,0.014317,0.795845,0.043184,0.129277,0.017377
25,-79.2522,-7.8825,2,0.000633,0.994043,0.002318,0.002526,0.00048
26,-79.1623,-7.8614,1,0.596171,0.102073,0.207728,0.058929,0.035099
27,-79.2053,-7.908,2,0.024374,0.793288,0.135451,0.037238,0.009649
28,-79.1777,-7.891,3,0.004618,0.003314,0.990917,0.000832,0.000319
29,-79.1436,-7.7911,3,0.054457,0.324425,0.569047,0.039791,0.01228
30,-79.2344,-7.9477,2,0.000159,0.998601,0.000626,0.000509,0.000105
31,-79.2463,-7.9373,2,0.012156,0.839498,0.037541,0.096992,0.013814
32,-79.1774,-7.8638,2,0.039045,0.644434,0.257386,0.04632,0.012815
33,-79.2705,-7.9398,2,0.051826,0.450238,0.438318,0.045998,0.01362
34,-79.1811,-7.8822,2,0.001553,0.986754,0.006451,0.004309,0.000932
35,-79.1396,-7.7777,1,0.965823,0.005273,0.025785,0.002115,0.001004
36,-79.1949,-7.9095,2,0.032185,0.718365,0.194892,0.043011,0.011547
37,-79.1519,-7.8143,3,0.001553,0.001234,0.996795,0.000303,0.000115
38,-79.2088,-7.9396,4,0.007326,0.086778,0.017211,0.865574,0.02311
39,-79.17,-7.8438,3,0.018686,0.010645,0.966759,0.00281,0.0011
40,-79.1552,-7.7989,2,0.035257,0.686461,0.221414,0.044705,0.012164
41,-79.1985,-7.8757,4,0.003051,0.020345,0.006229,0.945479,0.024896
42,-79.2208,-7.8714,2,0.01793,0.695276,0.051727,0.210214,0.024853
43,-79.2416,-7.8785,1,0.998241,0.000296,0.001279,0.000123,6e-05
44,-79.2264,-7.939,2,0.005362,0.941782,0.017917,0.029953,0.004987
45,-79.1856,-7.8911,4,0.011909,0.164391,0.028899,0.762817,0.031984
46,-79.2616,-7.9395,4,0.000188,0.001614,0.00041,0.996863,0.000925
47,-79.2222,-7.912,3,0.082713,0.029711,0.875536,0.008566,0.003474
48,-79.2574,-7.9376,4,0.000838,0.007633,0.001854,0.98593,0.003745
49,-79.236,-7.9349,1,0.99548,0.00075,0.00331,0.00031,0.00015
50,-79.141,-7.7823,3,0.001403,0.001508,0.996621,0.000342,0.000127
51,-79.2039,-7.8559,5,0.003408,0.01267,0.005836,0.050794,0.927293
52,-79.2297,-7.8887,2,0.002595,0.973884,0.009056,0.012278,0.002187
53,-79.1688,-7.8453,3,0.018183,0.031688,0.941672,0.006253,0.002204
54,-79.2332,-7.9785,1,0.958498,0.008058,0.027974,0.00363,0.00184
55,-79.2089,-7.8829,2,0.043054,0.595413,0.300789,0.047391,0.013353
56,-79.1515,-7.8662,2,0.028907,0.750734,0.168708,0.040844,0.010807
57,-79.1536,-7.8532,3,0.004944,0.003519,0.990313,0.000885,0.00034
58,-79.2268,-7.9658,4,0.002059,0.014236,0.004246,0.964016,0.015442
59,-79.26,-7.9177,2,0.011903,0.901468,0.057806,0.023212,0.005612
